iter	RMSE
272	0.5013860288
273	0.5013116174
274	0.5012099558
275	0.5011635964
276	0.5010721891
277	0.5008281283
278	0.500724546
279	0.5005578413
280	0.5003211021
281	0.5002180317
282	0.499966179
283	0.4999173356
284	0.4998238488
285	0.4997320489
286	0.4996337393
287	0.4994609881
288	0.4994359516
289	0.499251003
290	0.4989261175
291	0.4989182705
292	0.4988281597
293	0.4985107068
294	0.498200623
295	0.4977880123
296	0.4977472969
297	0.4977346317
298	0.4976164813
299	0.4975995809
300	0.4974846552
301	0.4971885665
302	0.4963849887
303	0.4963064997
304	0.4960263573
305	0.4958936084
306	0.4957961782
307	0.4950472295
308	0.4950215738
309	0.4949103082
310	0.4946389241
311	0.494545136
312	0.494484742
313	0.4943261893
314	0.4941193216
315	0.4938427292
316	0.4936599176
317	0.4935819102
318	0.4933213401
319	0.4931952616
320	0.4931620387
321	0.493087657
322	0.4929690594
323	0.492910545
324	0.4927988937
325	0.492528374
326	0.4924637779
327	0.4923944857
328	0.4916972817
329	0.4916234209
330	0.4915188917
331	0.4914554837
332	0.4907672019
333	0.4906529251
334	0.4905916472
335	0.4905324906
336	0.4903780627
337	0.4903236121
338	0.4902076455
339	0.4900805752
340	0.4898259239
341	0.4897182391
342	0.4895456434
343	0.4893610635
344	0.4891225923
345	0.4888596742
346	0.4886826916
347	0.4885697513
348	0.4883898382
349	0.4883039108
350	0.4880640516
351	0.4880092624
352	0.4877615589
353	0.4877086595
354	0.4876056381
355	0.4873866813
356	0.4872492161
357	0.4870733411
358	0.4869165039
359	0.4867591343
360	0.4865659014
361	0.4865005733
362	0.4863877672
363	0.4863183995
364	0.4861882492
365	0.4860583158
366	0.4860075686
367	0.4859919734
368	0.4858856675
369	0.4858209647
370	0.4850872891
371	0.4849267361
372	0.4847799997
373	0.4845526656
374	0.4843963074
375	0.4842719882
376	0.484209934
377	0.4841252623
378	0.4840086081
379	0.4838104465
380	0.4836676086
381	0.483563996
382	0.4834260748
383	0.4832942762
384	0.4832240862
385	0.4831161747
386	0.4829611983
387	0.4822951064
388	0.4822110722
389	0.482111411
390	0.4819282774
391	0.4818044805
392	0.4817446761
393	0.4816357513
394	0.4814204367
395	0.481325736
396	0.4812781999
397	0.4811277599
398	0.480859241
399	0.4805055591
400	0.4803687099
401	0.4802643877
402	0.4801234283
403	0.4800773425
404	0.4798587909
405	0.4797659698
406	0.4797218094
407	0.479666514
408	0.4794271591
409	0.4793844708
410	0.4792301763
411	0.4791367837
412	0.4790954741
413	0.4789313706
414	0.4788914831
415	0.4788373049
416	0.4786888974
417	0.4779990406
418	0.4779384288
419	0.4778677561
420	0.4778291228
421	0.477713695
422	0.4776058291
423	0.4775286478
424	0.4773939684
425	0.4771325763
426	0.477049689
427	0.4768514338
428	0.4762204015
429	0.4761046719
430	0.4759837734
431	0.4758668278
432	0.475784074
433	0.4757309102
434	0.4756178158
435	0.4755047137
436	0.4753743924
437	0.475109234
438	0.4750011161
439	0.4748464704
440	0.4746925769
441	0.4745355865
442	0.4738792091
443	0.4737742394
444	0.4736079288
445	0.4735573504
446	0.4734966441
447	0.4733909669
448	0.473290903
449	0.473162627
450	0.4730234073
451	0.4729009272
452	0.4728019363
453	0.4727218949
454	0.4726147933
455	0.4724679471
456	0.4723252291
457	0.4722899557
458	0.4721938923
459	0.4720792737
460	0.4720082835
461	0.4719205196
462	0.4718199786
463	0.4716802443
464	0.4715843953
465	0.4714595289
466	0.4713486433
467	0.471272767
468	0.4711751991
469	0.4710873616
470	0.4710385292
471	0.4709921529
472	0.4708726707
473	0.4708065281
474	0.4704376875
475	0.4703568587
476	0.4702422376
477	0.47007617
478	0.470018341
479	0.4699270944
480	0.4698523701
481	0.4698164922
482	0.4696398031
483	0.4695143813
484	0.4694255803
485	0.4693488106
486	0.4692690989
487	0.4692102804
488	0.4691468546
489	0.4690241664
490	0.4683925229
491	0.4682492413
492	0.4680855685
493	0.4679953614
494	0.4677556263
495	0.4676024775
496	0.4674681606
497	0.4673884042
498	0.4672544453
499	0.4671611639
500	0.4669992359
501	0.4668311373
502	0.4667726729
503	0.4667109872
504	0.4666247534
505	0.4665461362
506	0.466038239
507	0.4660051566
508	0.4658541089
509	0.4657624286
510	0.4657424371
511	0.4656542501
512	0.465583717
513	0.4653880133
514	0.4652894688
515	0.465198327
516	0.4650700926
517	0.4648674563
518	0.4647532919
519	0.4645237681
520	0.4644383965
521	0.4643581224
522	0.4642611274
523	0.4641556138
524	0.4640789133
525	0.4639992203
526	0.4639188296
527	0.4638411701
528	0.4637311846
529	0.463605258
530	0.4635301766
531	0.4634809316
532	0.4634082879
533	0.4633437927
534	0.4631784603
535	0.4631039476
536	0.4630487683
537	0.462900482
538	0.4628014629
539	0.4627291883
540	0.4627110427
541	0.4626420593
542	0.4623236322
543	0.4622501017
544	0.4622268923
545	0.4621601127
546	0.4615765669
547	0.4614508129
548	0.46138626
549	0.4612453284
550	0.4611457034
551	0.4610831163
552	0.4610601939
553	0.4609995442
554	0.4609581409
555	0.4608993488
556	0.4607345169
557	0.4606773966
558	0.460584513
559	0.4605302413
560	0.4604731735
561	0.4604047333
562	0.4603516102
563	0.4602582936
564	0.4601777487
565	0.4600324396
566	0.4599226429
567	0.4597942285
568	0.4597752691
569	0.4596745988
570	0.4596055151
571	0.4595384872
572	0.4594850658
573	0.4593602014
574	0.4592281678
575	0.459150828
576	0.4591057116
577	0.4590602524
578	0.4589962304
579	0.4588670811
580	0.4587050846
581	0.4586461842
582	0.4585952938
583	0.4585629987
584	0.4584352476
585	0.4583801173
586	0.4582491515
587	0.4582007645
588	0.4581698873
589	0.4580479061
590	0.4579956103
591	0.4578567907
592	0.45770362
593	0.4576293377
594	0.4575469096
595	0.4572073958
596	0.4570913478
597	0.4570453316
598	0.4564847835
599	0.4564308294
600	0.456345179
601	0.4557993386
602	0.4556852272
603	0.4556150119
604	0.455528234
605	0.4554886197
606	0.455401808
607	0.4553630632
608	0.455284183
609	0.4551927946
610	0.4551288725
611	0.4550126054
612	0.454905169
613	0.4547976712
614	0.4545189856
615	0.4544638208
616	0.4544259756
617	0.4543416926
618	0.4541957736
619	0.4541533323
620	0.4541198516
621	0.4540838531
622	0.4540186708
623	0.4539583435
624	0.4539431116
625	0.4538156759
626	0.453764954
627	0.4536444393
628	0.4535427035
629	0.4529958992
630	0.4529214743
631	0.4528811004
632	0.4528418994
633	0.4527606174
634	0.4527020838
635	0.452629773
636	0.4526066572
637	0.452576556
638	0.4522529543
639	0.4521506314
640	0.4521246854
641	0.4520963858
642	0.4520382918
643	0.4519943895
644	0.4519598777
645	0.4519268079
646	0.4518380089
647	0.4518142492
648	0.4517559604
649	0.451706083
650	0.4516830358
651	0.451617207
652	0.4514782771
653	0.4514465165
654	0.451331975
655	0.4511953138
656	0.4511267105
657	0.4510962269
658	0.4509615896
659	0.4508186038
660	0.4507182343
661	0.4506819712
662	0.4506095062
663	0.4501020164
664	0.4500668301
665	0.4499440401
666	0.4498565512
667	0.449827252
668	0.4497503406
669	0.4495688722
670	0.4495028814
671	0.4494768803
672	0.4494188374
673	0.4493102027
674	0.4492867904
675	0.4492646259
676	0.4492118234
677	0.449172118
678	0.4489595183
679	0.4489204962
680	0.44881976
681	0.4487199165
682	0.4486492711
683	0.4485155536
684	0.4484261625
685	0.4482800637
686	0.4481390174
687	0.4480807244
688	0.4480367939
689	0.4480087331
690	0.4479817579
691	0.4478790727
692	0.4478247703
693	0.4477724345
694	0.4477464759
695	0.4476104592
696	0.4475016442
697	0.4474775514
698	0.4473883907
699	0.4473385456
700	0.4473156868
701	0.4471539002
702	0.4470302099
703	0.4469743119
704	0.4468281418
705	0.446737897
706	0.4466793084
707	0.4466298581
708	0.4464790387
709	0.4463729022
710	0.4463491904
711	0.4462442316
712	0.4461520317
713	0.4461275549
714	0.4460812927
715	0.4460373657
716	0.445993947
717	0.4458909884
718	0.4457680657
719	0.445737766
720	0.445500154
721	0.4454485106
722	0.445323315
723	0.4452997592
724	0.4452588439
725	0.4451715577
726	0.4450771375
727	0.4449780867
728	0.4448494832
729	0.4447319831
730	0.4445907283
731	0.444549036
732	0.4444569558
733	0.444325321
734	0.4442241346
735	0.4441033719
736	0.4440236139
737	0.4435422537
738	0.4434451059
739	0.4433693738
740	0.4432762126
741	0.4432453299
742	0.4430141884
743	0.4427905207
744	0.4427500948
745	0.4425088797
746	0.4422629129
747	0.4422067269
748	0.4420993673
749	0.4420603412
750	0.4419620416
751	0.4418531796
752	0.4417709888
753	0.441670348
754	0.4415522797
755	0.441474458
756	0.4412861211
757	0.4412422947
758	0.4411785539
759	0.4410529875
760	0.4410303392
761	0.4409891262
762	0.4408408707
763	0.4408248747
764	0.4407516826
765	0.4407262842
766	0.4407044343
767	0.4402440703
768	0.4402066965
769	0.4401130471
770	0.4400278593
771	0.4399919351
772	0.4399473052
773	0.4399136489
774	0.439836595
775	0.4397313746
776	0.4397114845
777	0.4396417808
778	0.4395560218
779	0.4394969706
780	0.4393760883
781	0.4392469579
782	0.4391508582
783	0.4390152664
784	0.4388930896
785	0.43877624
786	0.438692539
787	0.4386052968
788	0.438495511
789	0.4383916326
790	0.4383510998
791	0.4382481963
792	0.4382295695
793	0.4381869276
794	0.4381551215
795	0.4381095212
796	0.4380200849
797	0.4379987505
798	0.43797376
799	0.4379235489
800	0.4378455842
801	0.4377698895
802	0.4376867036
803	0.4375953196
804	0.4375504296
805	0.4374994514
806	0.4374249862
807	0.4373140734
808	0.4372251168
809	0.4371931841
810	0.4369814223
811	0.4369111164
812	0.4368582471
813	0.4366933173
814	0.4366545023
815	0.4366278866
816	0.4365500649
817	0.4365283994
818	0.4365080314
819	0.4363688781
820	0.4362909495
821	0.4362524132
822	0.4357913249
823	0.435737562
824	0.4356946617
825	0.4354310999
826	0.435283046
827	0.4351325076
828	0.4351127655
829	0.4350802619
830	0.4350095426
831	0.4349592129
832	0.4349401341
833	0.434923347
834	0.4348819303
835	0.4347821021
836	0.434712978
837	0.4345328911
838	0.4344877315
839	0.43424213
840	0.4342236913
841	0.4341851192
842	0.4340415971
843	0.4339027251
844	0.4336608786
845	0.4335018347
846	0.4334833181
847	0.4334655587
848	0.4332952666
849	0.4330539972
850	0.4330291944
851	0.4329545763
852	0.4329160788
853	0.4329008224
854	0.432822253
855	0.4326403459
856	0.4325735331
857	0.4324133437
858	0.4322221453
859	0.4320436848
860	0.4319277355
861	0.4318824915
862	0.4316227646
863	0.4314987555
864	0.4314371665
865	0.4313584291
866	0.4312958022
867	0.4312445706
868	0.4311305372
869	0.4310865538
870	0.4308381767
871	0.4307451163
872	0.4306616705
873	0.4305788487
874	0.4305520266
875	0.4305211398
876	0.4304163994
877	0.430408047
878	0.4303998133
879	0.4302641872
880	0.4302561762
881	0.4302400732
882	0.4300716797
883	0.4300298336
884	0.4300041067
885	0.4298858132
886	0.4298327316
887	0.4297610634
888	0.4297476182
889	0.4295763781
890	0.4295593376
891	0.4294375497
892	0.4293874761
893	0.4293046319
894	0.4291696843
895	0.4290626149
896	0.4290139531
897	0.4289206228
898	0.4288735579
899	0.4287979502
900	0.4287576205
901	0.4287183927
902	0.4286747741
903	0.4284879574
904	0.4283680448
905	0.4281844838
906	0.4281157484
907	0.4280684833
908	0.4279971871
909	0.4278331339
910	0.4278044797
911	0.4276527628
912	0.4276130882
913	0.4275059024
914	0.4274411785
915	0.4273489429
916	0.4273327496
917	0.4271645239
918	0.4270217559
919	0.4269233704
920	0.4269051545
921	0.4268340535
922	0.4267678064
923	0.4267272474
924	0.4262813658
925	0.4262085226
926	0.4261681558
927	0.4261025386
928	0.4260393179
929	0.4259592406
930	0.4255251704
931	0.4254784081
932	0.4253387677
933	0.4251513269
934	0.4250645575
935	0.4249797467
936	0.4249383138
937	0.4248309369
938	0.4247377737
939	0.4246502687
940	0.4245920557
941	0.4241688781
942	0.4240866057
943	0.4240455253
944	0.4238959451
945	0.4238615031
946	0.4237648195
947	0.4236940608
948	0.4235585409
949	0.4234846451
950	0.4234512255
951	0.4234368948
952	0.4233444031
953	0.4232673171
954	0.4232028648
955	0.4231833878
956	0.4231043604
957	0.4230574018
958	0.423042413
959	0.4228972297
960	0.4228332345
961	0.4227764904
962	0.4227322896
963	0.4226311508
964	0.4225453844
965	0.4224940545
966	0.4224907211
967	0.4220794426
968	0.4220697534
969	0.4220119521
970	0.4218844287
971	0.4218135663
972	0.4217486766
973	0.4216478189
974	0.4216397966
975	0.4215956933
976	0.4215642644
977	0.4213365263
978	0.4212822263
979	0.4212639085
980	0.4212009975
981	0.421138792
982	0.4211340436
983	0.4210135624
984	0.4209606075
985	0.4209554256
986	0.4209089232
987	0.4208253431
988	0.4207984495
989	0.4206463288
990	0.4206277701
991	0.4205506543
992	0.4204936992
993	0.4204659438
994	0.4203588715
995	0.4203070693
996	0.4201932762
997	0.4201202357
998	0.4200127044
999	0.4199110777
